date,ticker,close
2021-09-30,BTC,34234.448
2021-09-30,WBTC,34217.682
2021-09-30,ETH,2222.458
2021-09-30,BNB,300.821
2021-09-30,AAVE,271.166
2021-09-30,XMR,214.851
2021-09-30,LTC,139.461
2021-09-30,SOL,33.911
2021-09-30,UNI,19.817
2021-09-30,LINK,18.802
2021-09-30,DOT,15.594
2021-09-30,ATOM,12.277
2021-09-30,EOS,3.947
2021-09-30,ADA,1.403
2021-09-30,USDC,1.0
2021-09-30,USDT,1.0
2021-09-30,MIOTA,0.829
2021-09-30,XRP,0.668
2021-09-30,XLM,0.263
2021-09-30,DOGE,0.241
2021-09-30,XEM,0.133
2021-09-30,CRO,0.118
2021-09-30,TRX,0.066
2021-06-30,WBTC,46521.113
2021-06-30,BTC,46497.782
2021-06-30,ETH,2597.435
2021-06-30,BNB,441.846
2021-06-30,AAVE,374.77
2021-06-30,XMR,309.198
2021-06-30,LTC,223.105
2021-06-30,SOL,35.69
2021-06-30,LINK,31.829
2021-06-30,DOT,30.474
2021-06-30,UNI,29.443
2021-06-30,ATOM,18.109
2021-06-30,EOS,6.443
2021-06-30,MIOTA,1.543
2021-06-30,ADA,1.466
2021-06-30,XRP,1.108
2021-06-30,USDC,1.001
2021-06-30,USDT,1.001
2021-06-30,XLM,0.459
2021-06-30,DOGE,0.313
2021-06-30,XEM,0.27
2021-06-30,CRO,0.156
2021-06-30,TRX,0.101
2021-03-31,BTC,45323.775
2021-03-31,WBTC,45295.368
2021-03-31,ETH,1541.277
2021-03-31,AAVE,323.467
2021-03-31,XMR,191.085
2021-03-31,LTC,175.089
2021-03-31,BNB,153.235
2021-03-31,DOT,25.53
2021-03-31,LINK,25.219
2021-03-31,UNI,20.222
2021-03-31,ATOM,14.725
2021-03-31,SOL,9.236
2021-03-31,EOS,3.633
2021-03-31,USDT,1.001
2021-03-31,USDC,1.0
2021-03-31,MIOTA,0.928
2021-03-31,ADA,0.78
2021-03-31,XRP,0.421
2021-03-31,XEM,0.376
2021-03-31,XLM,0.365
2021-03-31,CRO,0.124
2021-03-31,TRX,0.044
2021-03-31,DOGE,0.041
2020-12-31,BTC,16840.721
2020-12-31,WBTC,16824.799
2020-12-31,ETH,495.048
2020-12-31,XMR,129.806
2020-12-31,LTC,73.229
2020-12-31,AAVE,61.664
2020-12-31,BNB,29.925
2020-12-31,LINK,12.04
2020-12-31,ATOM,5.197
2020-12-31,DOT,4.777
2020-12-31,UNI,3.319
2020-12-31,EOS,2.73
2020-12-31,SOL,1.916
2020-12-31,USDT,1.001
2020-12-31,USDC,1.0
2020-12-31,XRP,0.364
2020-12-31,MIOTA,0.288
2020-12-31,XEM,0.163
2020-12-31,ADA,0.127
2020-12-31,XLM,0.117
2020-12-31,CRO,0.086
2020-12-31,TRX,0.028
2020-12-31,DOGE,0.003
2020-09-30,WBTC,10672.204
2020-09-30,BTC,10633.907
2020-09-30,ETH,343.038
2020-09-30,XMR,84.029
2020-09-30,LTC,51.103
2020-09-30,BNB,21.909
2020-09-30,LINK,10.768
2020-09-30,DOT,4.923
2020-09-30,ATOM,4.904
2020-09-30,UNI,4.85
2020-09-30,EOS,2.871
2020-09-30,SOL,2.418
2020-09-30,USDT,1.002
2020-09-30,USDC,1.001
2020-09-30,MIOTA,0.299
2020-09-30,XRP,0.246
2020-09-30,CRO,0.157
2020-09-30,ADA,0.117
2020-09-30,XLM,0.091
2020-09-30,XEM,0.082
2020-09-30,TRX,0.024
2020-09-30,DOGE,0.003
2020-06-30,WBTC,8690.261
2020-06-30,BTC,8665.592
2020-06-30,ETH,205.441
2020-06-30,XMR,62.029
2020-06-30,LTC,44.139
2020-06-30,BNB,16.133
2020-06-30,LINK,3.822
2020-06-30,ATOM,2.615
2020-06-30,EOS,2.608
2020-06-30,USDT,1.002
2020-06-30,USDC,1.001
2020-06-30,SOL,0.641
2020-06-30,XRP,0.197
2020-06-30,MIOTA,0.195
2020-06-30,CRO,0.078
2020-06-30,XLM,0.065
2020-06-30,ADA,0.058
2020-06-30,XEM,0.041
2020-06-30,TRX,0.015
2020-06-30,DOGE,0.002
2020-03-31,WBTC,8292.313
2020-03-31,BTC,8267.69
2020-03-31,ETH,184.195
2020-03-31,XMR,63.428
